Designator,Mid X,Mid Y,Layer,Rotation
ANT1,126.0000,-67.5000,T,0.0
ANT2,192.5000,-80.6000,T,-90.0
BATT1,190.5000,-88.0000,T,90.0
BZ1,171.5000,-85.5000,T,0.0
C101,155.5000,-89.5000,T,0.0
C102,116.5000,-89.5000,T,0.0
C104,159.5000,-93.5000,T,90.0
C105,162.5000,-93.5000,T,90.0
C106,126.5000,-92.0000,T,90.0
C107,162.0000,-97.0000,T,90.0
C201,125.5000,-58.5000,T,90.0
C202,125.5000,-62.0000,T,90.0
C203,186.5000,-63.5000,T,90.0
C204,179.5000,-74.0000,T,0.0
C205,179.5000,-76.5000,T,0.0
C301,166.8000,-68.0000,T,0.0
C302,157.5000,-70.5000,T,0.0
C303,157.5000,-73.5000,T,0.0
C304,143.5000,-73.5000,T,0.0
C305,154.0000,-73.5000,T,0.0
C306,150.5000,-73.5000,T,0.0
C307,147.0000,-73.5000,T,0.0
C308,140.0000,-73.5000,T,0.0
C309,136.5000,-73.5000,T,0.0
C310,133.0000,-73.5000,T,0.0
C401,126.5000,-79.0000,T,90.0
C402,126.5000,-82.5000,T,90.0
C403,126.5000,-75.5000,T,90.0
C404,152.6000,-83.2000,T,0.0
C405,147.5000,-70.9000,T,0.0
D101,136.0000,-78.5000,T,180.0
D201,182.0000,-64.5000,T,180.0
D301,162.5000,-68.0000,T,180.0
D302,157.5000,-68.0000,T,180.0
D303,162.5000,-70.5000,T,180.0
D401,180.5000,-81.8000,T,180.0
D402,178.5000,-53.0000,T,180.0
EPD1,151.5000,-77.5000,T,180.0
I2C1,170.0000,-96.5000,T,0.0
L201,188.3000,-79.0500,T,180.0
L301,163.0000,-76.0000,T,0.0
LED101,108.9000,-93.7000,T,180.0
LED102,131.5000,-98.5000,T,0.0
LED401,148.0000,-84.0000,T,0.0
Q101,135.5000,-82.0000,T,180.0
Q201,179.5000,-69.0000,T,180.0
Q301,167.5000,-76.0000,T,180.0
Q401,180.5000,-86.0000,T,180.0
Q402,178.0000,-57.0000,T,180.0
R101,137.0000,-95.5000,T,90.0
R102,138.6000,-98.8500,T,0.0
R103,117.2000,-98.9000,T,0.0
R104,105.6000,-93.7000,T,0.0
R105,128.0000,-98.5000,T,0.0
R106,123.0000,-89.5000,T,0.0
R107,139.0000,-82.5000,T,90.0
R108,156.0000,-97.0000,T,90.0
R109,159.0000,-97.0000,T,90.0
R201,179.5000,-71.5000,T,0.0
R202,179.5000,-66.5000,T,0.0
R301,166.5000,-70.5000,T,0.0
R302,170.5000,-76.0000,T,90.0
R401,126.5000,-72.0000,T,90.0
R402,180.5000,-89.0000,T,0.0
R403,173.0000,-55.0000,T,0.0
R404,180.5000,-91.5000,T,0.0
R405,174.5000,-59.5000,T,0.0
R406,148.0000,-81.5000,T,0.0
R407,167.0000,-92.0000,T,0.0
R408,171.0000,-92.0000,T,0.0
SW401,179.0000,-96.3000,T,0.0
SW402,136.0000,-87.5000,T,0.0
SW403,148.0000,-87.5000,T,0.0
SW404,160.0000,-87.5000,T,0.0
U101,140.2000,-91.6000,T,0.0
U102,117.0000,-94.0000,T,270.0
U103,123.0000,-92.0000,T,180.0
U104,130.5000,-92.0000,T,180.0
U105,156.0000,-93.5000,T,180.0
U201,114.5000,-60.5000,T,0.0
U202,188.5000,-73.0000,T,90.0
U401,109.7500,-78.5000,T,90.0
USBC1,148.0000,-96.8000,T,0.0
VIB1,192.0000,-61.0000,T,-90.0
